"Row" "Column" "Ainverse"
"1" 1 1 3108.21751450095
"2" 2 1 3105.57411613947
"3" 2 2 3106.87859655546
"4" 3 1 3105.63227581259
"5" 3 2 3105.61051716564
"6" 3 3 3116.41606529111
"7" 4 1 3105.60544410824
"8" 4 2 3105.55849265405
"9" 4 3 3105.57244589178
"10" 4 4 3106.83139575463
"11" 5 1 3105.61666414292
"12" 5 2 3105.6059246791
"13" 5 3 3105.71668911821
"14" 5 4 3105.27139715842
"15" 5 5 3109.666735192
"16" 6 1 3105.51749367088
"17" 6 2 3105.61782493174
"18" 6 3 3105.58065060126
"19" 6 4 3105.49769477154
"20" 6 5 3105.5741098844
"21" 6 6 3106.45227165508
"22" 7 1 3105.50549884734
"23" 7 2 3105.58403662057
"24" 7 3 3104.96336432567
"25" 7 4 3105.60538403876
"26" 7 5 3105.61417030669
"27" 7 6 3105.59597710089
"28" 7 7 3109.82131385441
"29" 8 1 3105.63155596402
"30" 8 2 3105.57237892987
"31" 8 3 3105.75186850843
"32" 8 4 3105.57913131334
"33" 8 5 3105.57328157175
"34" 8 6 3105.62364617965
"35" 8 7 3105.57989094484
"36" 8 8 3112.49197641396
"37" 9 1 3105.46184472798
"38" 9 2 3105.57964240666
"39" 9 3 3105.55849418075
"40" 9 4 3105.59139754461
"41" 9 5 3105.54671473358
"42" 9 6 3105.56981298351
"43" 9 7 3105.5051687605
"44" 9 8 3105.60994196218
"45" 9 9 3106.69236823824
"46" 10 1 3105.44780806775
"47" 10 2 3105.53310036659
"48" 10 3 3105.64455825279
"49" 10 4 3105.55020387676
"50" 10 5 3105.59045098796
"51" 10 6 3105.58575583144
"52" 10 7 3105.61061086268
"53" 10 8 3105.51299079995
"54" 10 9 3105.57723965501
"55" 10 10 3108.47862698414
"56" 11 1 3105.59867231094
"57" 11 2 3105.56544151088
"58" 11 3 3101.64299957016
"59" 11 4 3105.58828788948
"60" 11 5 3105.53560035632
"61" 11 6 3105.56978051483
"62" 11 7 3105.20497541189
"63" 11 8 3105.35191589055
"64" 11 9 3105.57533095538
"65" 11 10 3105.5502655036
"66" 11 11 3115.1642165406
"67" 12 1 3105.33657773247
"68" 12 2 3105.56094526461
"69" 12 3 3105.60458282974
"70" 12 4 3105.57593375325
"71" 12 5 3105.63089169399
"72" 12 6 3105.42891037318
"73" 12 7 3105.51366466521
"74" 12 8 3105.59754684603
"75" 12 9 3105.56494353017
"76" 12 10 3105.57291711448
"77" 12 11 3105.6132647086
"78" 12 12 3108.38223494136
"79" 13 1 3105.59333922652
"80" 13 2 3105.55572443872
"81" 13 3 3105.54033694058
"82" 13 4 3105.64314872872
"83" 13 5 3105.59838902099
"84" 13 6 3105.6046720632
"85" 13 7 3105.57865958738
"86" 13 8 3105.5946149135
"87" 13 9 3105.56277515842
"88" 13 10 3105.59178673516
"89" 13 11 3105.59169918828
"90" 13 12 3105.51415102328
"91" 13 13 3107.08576171502
"92" 14 1 3105.55371053118
"93" 14 2 3105.56171000897
"94" 14 3 3104.21921176614
"95" 14 4 3105.59144027175
"96" 14 5 3105.50152152228
"97" 14 6 3105.56488642426
"98" 14 7 3104.68490121575
"99" 14 8 3105.63472982763
"100" 14 9 3105.55526818749
"101" 14 10 3105.57080392105
"102" 14 11 3104.52622311666
"103" 14 12 3105.6607589265
"104" 14 13 3105.55205239304
"105" 14 14 3114.00230142454
"106" 15 1 3105.5619115156
"107" 15 2 3105.56971022405
"108" 15 3 3105.55574165364
"109" 15 4 3105.58431833739
"110" 15 5 3105.60659800505
"111" 15 6 3105.65945073827
"112" 15 7 3105.59716475901
"113" 15 8 3105.57867290501
"114" 15 9 3105.58222836797
"115" 15 10 3105.26602869918
"116" 15 11 3105.52702144267
"117" 15 12 3105.52566411558
"118" 15 13 3105.57773424309
"119" 15 14 3105.56341028163
"120" 15 15 3108.01264234912
"121" 16 1 3105.32585898427
"122" 16 2 3105.57994706089
"123" 16 3 3105.63392732914
"124" 16 4 3105.57594156773
"125" 16 5 3105.51946209687
"126" 16 6 3105.57852179152
"127" 16 7 3105.59896507309
"128" 16 8 3105.55932004662
"129" 16 9 3105.59715667084
"130" 16 10 3105.71936402962
"131" 16 11 3105.57088720763
"132" 16 12 3105.85232946584
"133" 16 13 3105.6349310242
"134" 16 14 3105.60999926635
