"Individual" "Female" "Male"
"AR_101" "AR_101" "0" "0"
"AR_102" "AR_102" "0" "0"
"AR_103" "AR_103" "0" "0"
"AR_105" "AR_105" "0" "0"
"AR_106" "AR_106" "0" "0"
"AR_107" "AR_107" "0" "0"
"AR_109" "AR_109" "0" "0"
"AR_10" "AR_10" "0" "0"
"AR_110" "AR_110" "0" "0"
"AR_11" "AR_11" "0" "0"
"AR_12" "AR_12" "0" "0"
"AR_14" "AR_14" "0" "0"
"AR_16" "AR_16" "0" "0"
"AR_17" "AR_17" "0" "0"
"AR_18" "AR_18" "0" "0"
"AR_19" "AR_19" "0" "0"
"AR_1" "AR_1" "0" "0"
"AR_20" "AR_20" "0" "0"
"AR_24" "AR_24" "0" "0"
"AR_28" "AR_28" "0" "0"
"AR_30" "AR_30" "0" "0"
"AR_32" "AR_32" "0" "0"
"AR_34" "AR_34" "0" "0"
"AR_35" "AR_35" "0" "0"
"AR_36" "AR_36" "0" "0"
"AR_37" "AR_37" "0" "0"
"AR_38" "AR_38" "0" "0"
"AR_3" "AR_3" "0" "0"
"AR_41" "AR_41" "0" "0"
"AR_42" "AR_42" "0" "0"
"AR_44" "AR_44" "0" "0"
"AR_46" "AR_46" "0" "0"
"AR_47" "AR_47" "0" "0"
"AR_48" "AR_48" "0" "0"
"AR_49" "AR_49" "0" "0"
"AR_4" "AR_4" "0" "0"
"AR_52" "AR_52" "0" "0"
"AR_54" "AR_54" "0" "0"
"AR_56" "AR_56" "0" "0"
"AR_57" "AR_57" "0" "0"
"AR_60" "AR_60" "0" "0"
"AR_61" "AR_61" "0" "0"
"AR_63" "AR_63" "0" "0"
"AR_64" "AR_64" "0" "0"
"AR_65" "AR_65" "0" "0"
"AR_67" "AR_67" "0" "0"
"AR_68" "AR_68" "0" "0"
"AR_6" "AR_6" "0" "0"
"AR_71" "AR_71" "0" "0"
"AR_72" "AR_72" "0" "0"
"AR_73" "AR_73" "0" "0"
"AR_74" "AR_74" "0" "0"
"AR_78" "AR_78" "0" "0"
"AR_79" "AR_79" "0" "0"
"AR_80" "AR_80" "0" "0"
"AR_81" "AR_81" "0" "0"
"AR_82" "AR_82" "0" "0"
"AR_83" "AR_83" "0" "0"
"AR_84" "AR_84" "0" "0"
"AR_85" "AR_85" "0" "0"
"AR_86" "AR_86" "0" "0"
"AR_88" "AR_88" "0" "0"
"AR_89" "AR_89" "0" "0"
"AR_8" "AR_8" "0" "0"
"AR_90" "AR_90" "0" "0"
"AR_91" "AR_91" "0" "0"
"AR_92" "AR_92" "0" "0"
"AR_95" "AR_95" "0" "0"
"AR_96" "AR_96" "0" "0"
"AR_97" "AR_97" "0" "0"
"AR_99" "AR_99" "0" "0"
"AR_9" "AR_9" "0" "0"
"C0_39" "C0_39" "0" "0"
"EN_10" "EN_10" "0" "0"
"EN_11" "EN_11" "0" "0"
"EN_12" "EN_12" "0" "0"
"EN_13" "EN_13" "0" "0"
"EN_15" "EN_15" "0" "0"
"EN_16" "EN_16" "0" "0"
"EN_18" "EN_18" "0" "0"
"EN_20" "EN_20" "0" "0"
"EN_24" "EN_24" "0" "0"
"EN_25" "EN_25" "0" "0"
"EN_2" "EN_2" "0" "0"
"EN_3" "EN_3" "0" "0"
"EN_4" "EN_4" "0" "0"
"EN_5" "EN_5" "0" "0"
"EN_6" "EN_6" "0" "0"
"EN_7" "EN_7" "0" "0"
"EN_9" "EN_9" "0" "0"
"L_NER_13" "L_NER_13" "0" "0"
"L_NER_32" "L_NER_32" "0" "0"
"L_NER_33" "L_NER_33" "0" "0"
"L_NER_48" "L_NER_48" "0" "0"
"L_NER_50" "L_NER_50" "0" "0"
"L_NER_56" "L_NER_56" "0" "0"
"L_NER_59" "L_NER_59" "0" "0"
"L_NER_60" "L_NER_60" "0" "0"
"L_NER_6" "L_NER_6" "0" "0"
"L_NER_7" "L_NER_7" "0" "0"
"L_NER_8" "L_NER_8" "0" "0"
"TZLR_10" "TZLR_10" "0" "0"
"TZLR_11" "TZLR_11" "0" "0"
"TZLR_13" "TZLR_13" "0" "0"
"TZLR_15" "TZLR_15" "0" "0"
"TZLR_16" "TZLR_16" "0" "0"
"TZLR_17" "TZLR_17" "0" "0"
"TZLR_18" "TZLR_18" "0" "0"
"TZLR_19" "TZLR_19" "0" "0"
"TZLR_1" "TZLR_1" "0" "0"
"TZLR_20" "TZLR_20" "0" "0"
"TZLR_21" "TZLR_21" "0" "0"
"TZLR_22" "TZLR_22" "0" "0"
"TZLR_24" "TZLR_24" "0" "0"
"TZLR_25" "TZLR_25" "0" "0"
"TZLR_2" "TZLR_2" "0" "0"
"TZLR_30" "TZLR_30" "0" "0"
"TZLR_31" "TZLR_31" "0" "0"
"TZLR_32" "TZLR_32" "0" "0"
"TZLR_33" "TZLR_33" "0" "0"
"TZLR_34" "TZLR_34" "0" "0"
"TZLR_35" "TZLR_35" "0" "0"
"TZLR_36" "TZLR_36" "0" "0"
"TZLR_37" "TZLR_37" "0" "0"
"TZLR_38" "TZLR_38" "0" "0"
"TZLR_3" "TZLR_3" "0" "0"
"TZLR_40" "TZLR_40" "0" "0"
"TZLR_41" "TZLR_41" "0" "0"
"TZLR_43" "TZLR_43" "0" "0"
"TZLR_44" "TZLR_44" "0" "0"
"TZLR_45" "TZLR_45" "0" "0"
"TZLR_47" "TZLR_47" "0" "0"
"TZLR_53" "TZLR_53" "0" "0"
"TZLR_54" "TZLR_54" "0" "0"
"TZLR_57" "TZLR_57" "0" "0"
"TZLR_58" "TZLR_58" "0" "0"
"TZLR_5" "TZLR_5" "0" "0"
"TZLR_60" "TZLR_60" "0" "0"
"TZLR_62" "TZLR_62" "0" "0"
"TZLR_63" "TZLR_63" "0" "0"
"TZLR_64" "TZLR_64" "0" "0"
"TZLR_65" "TZLR_65" "0" "0"
"TZLR_66" "TZLR_66" "0" "0"
"TZLR_67" "TZLR_67" "0" "0"
"TZLR_68" "TZLR_68" "0" "0"
"TZLR_6" "TZLR_6" "0" "0"
"TZLR_71" "TZLR_71" "0" "0"
"TZLR_73" "TZLR_73" "0" "0"
"TZLR_74" "TZLR_74" "0" "0"
"TZLR_75" "TZLR_75" "0" "0"
"TZLR_76" "TZLR_76" "0" "0"
"TZLR_77" "TZLR_77" "0" "0"
"TZLR_78" "TZLR_78" "0" "0"
"TZLR_79" "TZLR_79" "0" "0"
"TZLR_7" "TZLR_7" "0" "0"
"TZLR_80" "TZLR_80" "0" "0"
"TZLR_81" "TZLR_81" "0" "0"
"TZLR_82" "TZLR_82" "0" "0"
"TZLR_83" "TZLR_83" "0" "0"
"TZLR_8" "TZLR_8" "0" "0"
"TZLR_9" "TZLR_9" "0" "0"
